"id","stars","date","text","useful","funny","cool","business_id","user_id"
"6NneO1alIF88iArTL85Ddw",5,"2016-05-13 00:00:00","Great soul food period , it's get no better, come and get it. They have lamb too !! Chicken, ribs, bbq chicken and sides to boot !! Pure awesomeness !!",0,0,1,"mLwM-h2YhXl2NCgdS84_Bw","Uj3eVaJZt0xcLtAg7tqYCQ"
"cyYjLJjuvGngUR4mMI9eQQ",4,"2016-03-06 00:00:00","South Florida resides on the east side of Charlotte inside of a convenience store....a little sketchy but the food is really good.  They serve breakfast all day(chicken and waffles, fish and grits, etc) lunch and dinner.  They are grilling chicken, ribs, and pork chops right in the parking lot and although I haven't tried the ribs, the grilled pork chops and chicken are perfectly cooked.  I also tried the fried chicken, green beans, lima beans, potato salad, stewed squash, and seafood salad...all excellent!  The only thing I wasn't impressed with was the Mac n cheese.  They also offer homemade desserts, fruit and salad.  Great addition to the soul food scene!",14,5,12,"mLwM-h2YhXl2NCgdS84_Bw","9IRuYmy5YmhtNQ6ei1p-uQ"
"exUbigDEviVau7r6TQ24Ug",4,"2016-06-18 00:00:00","So this place is in the c-store. A little skeptical of the atmosphere but go in the day time and it's alright.  My food was good . I had turkey wings yams and green beans.  Very good turkey wings. Yams were not to sweet just the way I like it.  Will try again.  Sometimes taking a chance works!",0,0,1,"mLwM-h2YhXl2NCgdS84_Bw","rOhyDyMWN7ckYDNA4C-JDA"
"xrcatAnMw-li3EpnrkxOSw",5,"2016-08-14 00:00:00","Amazing food!! I can't believe it almost taste like my 100 year old grandfathers food, God rest his soul. Even though these guys are displaced and have opened up shop in Nubian Queens Restaurant, they did not let that come across in the food  they prepared! I'm a patron from here on out!",0,0,0,"mLwM-h2YhXl2NCgdS84_Bw","sV0dpo6OJJcqGqO-1aJVrQ"
"-mYaR0MkB1amF42clw9d3g",5,"2013-11-27 00:00:00","When I want a sandwich, this is where I want it from. 

Soft flavorful bread (you are already ahead of the game because Subway and Jimmy John have hard and/or bland bread). Fresh sliced meats, cheeses and veggies (sorry but S & JJ have slimy meat and that's a HUGE turn-off), and when you take a bite of your sandwich and all of the mayo/mustard/vinegar/oregano have magically melded together...you'll be a believer too. Prices are slightly higher than Subway, pretty similar to Jimmy John, but the quality leaves them in the dust. My only suggestion would be for them to start a delivery service or subscribe to Grubhub.com or something like that so I could order it for our lunch meetings. 

Oh and the service is always done with a smile. Great job guys!",1,0,1,"duHFBe87uNSXImQmvBh87Q","mzHRaYLoV-lwX79HghP6lw"
"FSUVv_zALancIFlqYcMGYA",5,"2015-07-17 00:00:00","My favorite stop. It is what you would expect all blimpie to be but unfortunately you can't expect this service or sandwich art at any other blimpie location. They are always generous with the condiments and veggies so much so I CRAVE these sandwiches. Always recommend to a friend.",0,0,0,"duHFBe87uNSXImQmvBh87Q","Y0QwHP4oxQ4jtk8R2PFq8g"
"GbOPClhAFxRIS8XxySV36w",5,"2015-07-04 00:00:00","This place is the best. They will make a sub to your liking and always, always exhibit a good vibe and attitude. Yeah it's just a sandwich shop but chit like that matters if you're ever going to have repeat business.",0,0,1,"duHFBe87uNSXImQmvBh87Q","F_g_b3vOcP80Q1hMWdqbxQ"
"jxYQ4LjL10rP2o93PWoKIg",5,"2015-04-08 00:00:00","I really like their bread.  Always soft inside and not too thick or hard on the outside.

I like their fresh cut deli meats, but my favorite is always the TUNA, which is never soggy with mayo.  They do limit their toppings, but with great meat and bread all those toppings the competitors offer are not required.  

They're always friendly and quick and the owner/manager is always there making sandwiches too.

Why buy a $10 sandwich at WholeFoods when you can get a better one at Blimpie's?",3,1,2,"duHFBe87uNSXImQmvBh87Q","4W-ZU-E82HWWUNNk9tfN6g"
"mv-H-7Vpu_2xtOjRFiqH6g",3,"2011-08-31 00:00:00","What?  am I really FTR on this?  huh.  weird.

Anyways, this blimpie's is in the shopping center near my office.  I come here from time to time because I actually get hungry on lunch!  Today was one of those days.

The good side of this place is that there's hardly ever a wait.  Even with a line, things move quickly and efficiently.  Menu selection is decent, prices are fair, and there's plenty of indoor seating.  They have a nice bread selection here, which I like as well.

Downside?  I kinda find Blimpie's subs to be...well, mediocure.  Its by far 10 million times better then Subway any day..but not enough to really impress my tastebuds.

Anyways, if your in the area, and want a halfway decent sub, swing by and pick one up!",2,2,2,"duHFBe87uNSXImQmvBh87Q","qibGLHABNReGeJr2w4_8yQ"
"Nppy4tRBZ_39RAMV9FhJ0g",4,"2013-09-25 00:00:00","Never having eaten from a Blimpie's I was excited to try them out and really surprised. I expected something like Subway, but they are blowing Subway AND Jimmy John's right out of the water. If I have my way, I'll NEVER GO BACK TO SUBWAY OR JIMMY JOHN'S AGAIN! 
My boss bought me a sandwich-the Ultimate Club-which is one of their warm subs, so I can't speak to the price. But boy oh boy was my sandwich good. No sooner had he laid it down in front of me and it was GONE! The bread was great, they didn't skimp on the meat, the bacon was real and not that floppy chewy stuff-it had a nice crunch to it, but wasn't overdone and I really love their peppercorn sauce! 
My boss goes there all the time so they must have good service and decent prices. 
I recommend you check it out!",0,0,0,"duHFBe87uNSXImQmvBh87Q","qROJLu7oKQsFri70kSUnCg"
"peY8EDUZAcNwSNLYbbgDyA",5,"2015-07-27 00:00:00","This place rocks.. best customer service smiley friendly people, awesome bread and tasty meats to top it off. . Great place to come for,a cold sandwich",0,0,0,"duHFBe87uNSXImQmvBh87Q","8jN7OEC8N67IY6MgssxoMA"
"TcFKXZNFiccajH2U0pD_lQ",5,"2015-02-19 00:00:00","I was very pleased with my meal. I had never been to a Blimpie before and i can say i have been converted! Subway in the past and Blimpie in the future!",0,0,1,"duHFBe87uNSXImQmvBh87Q","OIVny4cXC6IevrYkw5EmPw"
"tF1R63rq_8GX5o8cnQ4vXw",4,"2014-03-28 00:00:00","The guys that work at this place are super friendly. I work next door at so I come over occasionally for a sub. They have a deal that if you come after 4pm you get any foot long for $5. It's super cheap and a lot better than Subway. They actually slice the meat in front of you. The subs are still kinda mediocre, but for the price you can't beat it.",3,1,1,"duHFBe87uNSXImQmvBh87Q","q8pYnjIwWbgIK_H0A2Txbw"
